Quote_ID,Project_ID,Trade_Type,Quoted_Amount,Quoted_Hours,Quote_Date,Subcontractor_Name,Total_Billed_Amount,Total_Billed_Hours,Invoice_Count,Milestone_ID,Target_Completion_Date,Actual_Completion_Date,Days_Delayed,Cost_Variance_Amount,Cost_Variance_Percent,Labor_Variance_Hours,Is_Over_Budget_Flag
QT-42706,PROJ-2024-012,Drywall,103060.33,1809,2025-08-16,Smooth Walls Inc.,107115.95,1884,3,MS-97416,2025-09-26,2025-09-22,0,4055.62,3.93519019393786e-02,75,1
QT-92960,PROJ-2024-015,Masonry,119266.2,1763,2025-08-16,Brick By Brick,139132.98,2058,3,MS-91167,2025-09-24,2025-10-15,21,19866.78,0.166575106777947,295,1
QT-62923,PROJ-2024-009,Drywall,142765.79,2520,2025-08-10,Smooth Walls Inc.,148689.82,2616,2,MS-25713,2025-11-07,2025-11-16,9,5924.03,4.14947446443577e-02,96,1
QT-79615,PROJ-2024-009,Framing,35824.12,646,2025-08-10,Solid Structure Framing,24223.04,440,2,MS-30635,2025-09-11,2025-09-11,0,-11601.08,-0.323834332846138,-206,0
QT-88504,PROJ-2024-005,Roofing,59523.49,841,2025-08-15,Top Tier Roofing,44498.42,642,3,MS-52487,2025-10-09,2025-10-13,4,-15025.07,-0.252422531004146,-199,0
QT-44973,PROJ-2024-005,Electrical,40858.03,566,2025-08-15,Elite Electric Co.,44625.49,624,4,MS-94012,2025-10-30,2025-11-12,13,3767.46000000001,9.22085572897177e-02,58,1
QT-38016,PROJ-2024-008,Drywall,85734.94,1386,2025-07-07,Drywall Dash,87611.88,1419,3,MS-62565,2025-08-20,2025-08-24,4,1876.94,2.18923580047995e-02,33,1
QT-46517,PROJ-2024-013,Drywall,114973.05,1852,2025-07-26,Smooth Walls Inc.,116064.35,1860,2,MS-19099,2025-10-12,2025-10-14,2,1091.3,9.49178959764921e-03,8,1
QT-94607,PROJ-2024-010,HVAC,49197.36,678,2025-07-24,Climate Control Inc.,24371.88,332,1,MS-49321,2025-10-17,2025-10-18,1,-24825.48,-0.504610003463601,-346,0
QT-73654,PROJ-2024-019,Electrical,57394.49,1070,2025-08-05,Voltage Vanguard,64464.19,1208,2,MS-13804,2025-10-23,2025-11-08,16,7069.7,0.123177329391724,138,1
QT-66333,PROJ-2024-012,Framing,125480.96,1596,2025-08-16,Solid Structure Framing,122012.65,1564,4,MS-26704,2025-10-03,2025-10-02,0,-3468.31,-2.76401296260405e-02,-32,0
QT-81066,PROJ-2024-009,Plumbing,138760.77,2340,2025-08-10,Pipe Masters,133625.96,2252,2,MS-17989,2025-10-24,2025-10-31,7,-5134.81,-3.70047672695964e-02,-88,0
QT-16175,PROJ-2024-004,Concrete,140399.77,2087,2025-08-07,Concrete Kings,159863.76,2372,4,MS-24371,2025-10-01,2025-10-18,17,19463.99,0.138632634512151,285,1
QT-19508,PROJ-2024-010,Framing,108429.25,1777,2025-07-24,Solid Structure Framing,111479.87,1830,3,MS-11220,2025-10-08,2025-10-11,3,3050.62,2.81346592363223e-02,53,1
QT-83579,PROJ-2024-004,Plumbing,44621.92,707,2025-08-07,Flow State Plumbing,43984.47,700,4,MS-80644,2025-10-18,2025-10-13,0,-637.449999999997,-1.42855798226521e-02,-7,0
QT-38683,PROJ-2024-016,Roofing,119710.27,2096,2025-07-16,Top Tier Roofing,124751.04,2172,4,MS-33053,2025-09-23,2025-09-29,6,5040.76999999999,4.21080831243634e-02,76,1
QT-15229,PROJ-2024-012,Concrete,28573.56,391,2025-08-16,Rock Solid Pour,29838.1,408,2,MS-56898,2025-10-20,2025-10-25,5,1264.54,4.42555985323494e-02,17,1
QT-43586,PROJ-2024-020,Roofing,41956.1,826,2025-08-03,WeatherGuard Roofs,42095.58,837,3,MS-58351,2025-09-07,2025-09-07,0,139.480000000003,3.3244271989056e-03,11,1
QT-85456,PROJ-2024-018,Drywall,119426.21,2013,2025-07-25,Drywall Dash,120223.01,2025,3,MS-59857,2025-08-24,2025-08-21,0,796.800000000003,6.67190225663196e-03,12,1
QT-97410,PROJ-2024-014,Masonry,39212.86,519,2025-07-11,Stonecraft Masonry,31079.22,405,3,MS-63528,2025-08-23,2025-08-28,5,-8133.64,-0.207422768958959,-114,0
QT-43065,PROJ-2024-020,Electrical,34941.12,491,2025-08-03,Elite Electric Co.,36831.18,526,2,MS-20735,2025-10-21,2025-10-30,9,1890.06,5.40927136851938e-02,35,1
QT-52237,PROJ-2024-015,Concrete,145777.9,2482,2025-08-16,Rock Solid Pour,175278.01,2976,4,MS-70946,2025-10-16,2025-11-10,25,29500.11,0.202363389786792,494,1
QT-80798,PROJ-2024-018,Electrical,72182.66,1163,2025-07-25,Voltage Vanguard,86907.95,1396,4,MS-20561,2025-09-27,2025-10-22,25,14725.29,0.204000379038401,233,1
QT-71261,PROJ-2024-019,HVAC,93613.71,1621,2025-08-05,AirTech Pros,88690.07,1544,2,MS-26728,2025-09-08,2025-09-05,0,-4923.64,-5.25952875919563e-02,-77,0
QT-30289,PROJ-2024-009,Electrical,110528.93,1386,2025-08-10,Elite Electric Co.,128717.86,1620,4,MS-34890,2025-10-12,2025-11-02,21,18188.93,0.164562617226096,234,1
QT-46265,PROJ-2024-011,Roofing,126417.03,1840,2025-08-14,WeatherGuard Roofs,121658.89,1773,3,MS-15778,2025-09-19,2025-09-17,0,-4758.14,-3.76384415928772e-02,-67,0
QT-44814,PROJ-2024-010,Plumbing,127101.79,1802,2025-07-24,Pipe Masters,128746.53,1826,2,MS-61876,2025-10-13,2025-10-23,10,1644.74000000001,1.29403370322322e-02,24,1
